... loading data
... building the model
** Model weights: **
mean of Weights Matrix:  -6.35461e-05  STD:  0.0394253
(784, 500)
(500,)
** Model weights: **
mean of Weights Matrix:  8.01995e-05  STD:  0.0447826
(500, 500)
(500,)
... training
epoch 115, minibatch 2500/2500, validation error 2.000000 %
epoch 116, minibatch 2500/2500, validation error 1.990000 %
     epoch 116, minibatch 2500/2500, test error of best model 2.040000 %
epoch 117, minibatch 2500/2500, validation error 1.990000 %
epoch 118, minibatch 2500/2500, validation error 1.990000 %
epoch 119, minibatch 2500/2500, validation error 1.990000 %
epoch 120, minibatch 2500/2500, validation error 1.990000 %
epoch 121, minibatch 2500/2500, validation error 1.990000 %
epoch 122, minibatch 2500/2500, validation error 1.990000 %
epoch 123, minibatch 2500/2500, validation error 1.970000 %
     epoch 123, minibatch 2500/2500, test error of best model 2.040000 %
epoch 124, minibatch 2500/2500, validation error 1.960000 %
     epoch 124, minibatch 2500/2500, test error of best model 2.040000 %
epoch 125, minibatch 2500/2500, validation error 1.960000 %
epoch 126, minibatch 2500/2500, validation error 1.960000 %
epoch 127, minibatch 2500/2500, validation error 1.980000 %
epoch 128, minibatch 2500/2500, validation error 1.980000 %
epoch 129, minibatch 2500/2500, validation error 1.980000 %
epoch 130, minibatch 2500/2500, validation error 1.980000 %
epoch 131, minibatch 2500/2500, validation error 1.960000 %
epoch 132, minibatch 2500/2500, validation error 1.950000 %
     epoch 132, minibatch 2500/2500, test error of best model 2.030000 %
epoch 133, minibatch 2500/2500, validation error 1.950000 %
epoch 134, minibatch 2500/2500, validation error 1.950000 %
epoch 135, minibatch 2500/2500, validation error 1.950000 %
epoch 136, minibatch 2500/2500, validation error 1.960000 %
epoch 137, minibatch 2500/2500, validation error 1.960000 %
epoch 138, minibatch 2500/2500, validation error 1.950000 %
epoch 139, minibatch 2500/2500, validation error 1.950000 %
epoch 140, minibatch 2500/2500, validation error 1.950000 %
epoch 141, minibatch 2500/2500, validation error 1.940000 %
     epoch 141, minibatch 2500/2500, test error of best model 2.030000 %
epoch 142, minibatch 2500/2500, validation error 1.940000 %
epoch 143, minibatch 2500/2500, validation error 1.940000 %
epoch 144, minibatch 2500/2500, validation error 1.940000 %
epoch 145, minibatch 2500/2500, validation error 1.930000 %
     epoch 145, minibatch 2500/2500, test error of best model 2.030000 %
epoch 146, minibatch 2500/2500, validation error 1.910000 %
     epoch 146, minibatch 2500/2500, test error of best model 2.030000 %
